,PLAYER_URL,NAME,DATE_OF_BIRTH,CITIZENSHIP,CURRENT_CLUB,OUTFITTER,MV
0,https://www.transfermarkt.com/djordje-petrovic/profil/spieler/465555,Djordje Petrovic,"Oct 8, 1999 (25)",['Serbia'],RC Strasbourg Alsace,adidas,18.00m
1,https://www.transfermarkt.com/alaa-bellaarouch/profil/spieler/667991,Alaa Bellaarouch,"Jan 1, 2002 (23)",['Morocco'],RC Strasbourg Alsace,,500k
2,https://www.transfermarkt.com/karl-johan-johnsson/profil/spieler/112822,Karl-Johan Johnsson,"Jan 28, 1990 (35)",['Sweden'],RC Strasbourg Alsace,,400k
3,https://www.transfermarkt.com/mamadou-sarr/profil/spieler/910905,Mamadou Sarr,"Aug 29, 2005 (19)","['France', 'Senegal']",RC Strasbourg Alsace,,15.00m
4,https://www.transfermarkt.com/ismael-doukoure/profil/spieler/786436,Ismaël Doukouré,"Jul 24, 2003 (21)","['France', ""Cote d'Ivoire""]",RC Strasbourg Alsace,,15.00m
5,https://www.transfermarkt.com/abakar-sylla/profil/spieler/962555,Abakar Sylla,"Dec 25, 2002 (22)","[""Cote d'Ivoire""]",RC Strasbourg Alsace,,12.00m
6,https://www.transfermarkt.com/andrew-omobamidele/profil/spieler/621993,Andrew Omobamidele,"Jun 23, 2002 (22)","['Ireland', 'Nigeria']",RC Strasbourg Alsace,,10.00m
7,https://www.transfermarkt.com/yoni-gomis/profil/spieler/988272,Yoni Gomis,"Sep 23, 2005 (19)","['France', 'Senegal']",RC Strasbourg Alsace,,1.00m
8,https://www.transfermarkt.com/valentin-barco/profil/spieler/849410,Valentín Barco,"Jul 23, 2004 (20)",['Argentina'],RC Strasbourg Alsace,adidas,8.00m
9,https://www.transfermarkt.com/eduard-sobol/profil/spieler/206717,Eduard Sobol,"Apr 20, 1995 (29)",['Ukraine'],RC Strasbourg Alsace,,1.20m
10,https://www.transfermarkt.com/thomas-delaine/profil/spieler/170961,Thomas Delaine,"Mar 24, 1992 (33)",['France'],RC Strasbourg Alsace,,800k
11,https://www.transfermarkt.com/guela-doue/profil/spieler/711980,Guéla Doué,"Oct 17, 2002 (22)","[""Cote d'Ivoire"", 'France']",RC Strasbourg Alsace,Puma,12.00m
12,https://www.transfermarkt.com/pape-diong/profil/spieler/1183575,Pape Diong,"Jun 15, 2006 (18)",['Senegal'],RC Strasbourg Alsace,,800k
13,https://www.transfermarkt.com/andrey-santos/profil/spieler/743600,Andrey Santos,"May 3, 2004 (20)",['Brazil'],RC Strasbourg Alsace,adidas,25.00m
14,https://www.transfermarkt.com/habib-diarra/profil/spieler/876631,Habib Diarra,"Jan 3, 2004 (21)","['Senegal', 'France']",RC Strasbourg Alsace,Nike,20.00m
15,https://www.transfermarkt.com/sebastian-nanasi/profil/spieler/579928,Sebastian Nanasi,"May 16, 2002 (22)","['Sweden', 'Hungary']",RC Strasbourg Alsace,,15.00m
16,https://www.transfermarkt.com/felix-lemarechal/profil/spieler/659518,Félix Lemaréchal,"Aug 7, 2003 (21)","['France', ""Cote d'Ivoire""]",RC Strasbourg Alsace,,7.00m
17,https://www.transfermarkt.com/tidiane-diallo/profil/spieler/1047100,Tidiane Diallo,"May 28, 2006 (18)","['France', 'Senegal']",Racing Strasbourg B,,
18,https://www.transfermarkt.com/diego-moreira/profil/spieler/655006,Diego Moreira,"Aug 6, 2004 (20)","['Portugal', 'Belgium']",RC Strasbourg Alsace,Nike,10.00m
19,https://www.transfermarkt.com/oscar-perea/profil/spieler/1015624,Óscar Perea,"Sep 27, 2005 (19)",['Colombia'],RC Strasbourg Alsace,,2.50m
20,https://www.transfermarkt.com/dilane-bakwa/profil/spieler/540664,Dilane Bakwa,"Aug 26, 2002 (22)","['France', 'DR Congo']",RC Strasbourg Alsace,,18.00m
21,https://www.transfermarkt.com/samuel-amo-ameyaw/profil/spieler/933900,Samuel Amo-Ameyaw,"Jul 18, 2006 (18)","['England', 'Ghana']",RC Strasbourg Alsace,,2.00m
22,https://www.transfermarkt.com/abdoul-ouattara/profil/spieler/991487,Abdoul Ouattara,"Oct 22, 2005 (19)","[""Cote d'Ivoire"", 'France']",RC Strasbourg Alsace,,800k
23,https://www.transfermarkt.com/emanuel-emegha/profil/spieler/559328,Emanuel Emegha,"Feb 3, 2003 (22)","['Netherlands', 'Nigeria']",RC Strasbourg Alsace,,20.00m
24,https://www.transfermarkt.com/sekou-mara/profil/spieler/557612,Sékou Mara,"Jul 30, 2002 (22)","['France', 'Senegal']",RC Strasbourg Alsace,Nike,6.00m
25,https://www.transfermarkt.com/moise-sahi-dion/profil/spieler/880330,Moïse Sahi Dion,"Dec 20, 2001 (23)","[""Cote d'Ivoire"", 'Mali']",RC Strasbourg Alsace,,1.50m
