,URL
0,https://www.transfermarkt.com/radoslaw-majecki/profil/spieler/346546
1,https://www.transfermarkt.com/philipp-kohn/profil/spieler/251322
2,https://www.transfermarkt.com/yann-lienard/profil/spieler/745341
3,https://www.transfermarkt.com/wilfried-singo/profil/spieler/648779
4,https://www.transfermarkt.com/thilo-kehrer/profil/spieler/228948
5,https://www.transfermarkt.com/mohammed-salisu/profil/spieler/563963
6,https://www.transfermarkt.com/christian-mawissa/profil/spieler/1005240
7,https://www.transfermarkt.com/caio-henrique/profil/spieler/420064
8,https://www.transfermarkt.com/kassoum-ouattara/profil/spieler/947360
9,https://www.transfermarkt.com/vanderson/profil/spieler/789082
10,https://www.transfermarkt.com/jordan-teze/profil/spieler/364245
11,https://www.transfermarkt.com/denis-zakaria/profil/spieler/334526
12,https://www.transfermarkt.com/soungoutou-magassa/profil/spieler/745181
13,https://www.transfermarkt.com/moatasem-al-musrati/profil/spieler/377641
14,https://www.transfermarkt.com/lamine-camara/profil/spieler/918969
15,https://www.transfermarkt.com/edan-diop/profil/spieler/745178
16,https://www.transfermarkt.com/aleksandr-golovin/profil/spieler/263918
17,https://www.transfermarkt.com/eliesse-ben-seghir/profil/spieler/810895
18,https://www.transfermarkt.com/takumi-minamino/profil/spieler/165793
19,https://www.transfermarkt.com/lucas-michal/profil/spieler/810909
20,https://www.transfermarkt.com/maghnes-akliouche/profil/spieler/745200
21,https://www.transfermarkt.com/krepin-diatta/profil/spieler/490426
22,https://www.transfermarkt.com/mika-biereth/profil/spieler/565821
23,https://www.transfermarkt.com/folarin-balogun/profil/spieler/503770
24,https://www.transfermarkt.com/george-ilenikhena/profil/spieler/1004834
25,https://www.transfermarkt.com/breel-embolo/profil/spieler/237662
